A,B
amandashatzko,?
Aaron Gunn,conservative
Marc Nixon,climate denier
BC Green Caucus,?
The Shift,?
Caroline,?
Spencer â€œKanakaâ€ Sacht Lund,?
Michelle Leahy Ferreri,conservative
Dogwood,?
Fair Vote Canada,?
Cole Bennett,good
The Thorn,?
Kelli Paddon,good
Save the CBC,good
Blendr,bad
Jonathan Harvey,bad
Liam DeBoer,bad
The Beaverton,good
401_da_sarpanch,bad
Ben West,good
BertaProudDad,bad
Aaron Pete,bad
This is VANCOLOUR,?
Adam Olsen,good
adventures.with.sable,?
Dr. Parinoor (Vishakha) Sharma Kooner,good
Fraser Institute,bad
Amanda | Integrative Health Practitioner,bad
Canuck ğŸ‡¨ğŸ‡¦,bad
The Right Call Podcast â€“ w/ Elliot Daigneault,bad
Elliot Daigneault,bad
Emily Lowan,good
Isaac A. Peltz,good
Hazel Thayer,good
Bardil Bezborodko,bad
Candice Malcolm,bad
The Goose ğŸ‡¨ğŸ‡¦,bad
Mario Zelaya,bad
Jane,good
Eagle Andersen,good
Bruce Colero,bad
David Farrow,bad
Canadian Peopleâ€™s Union (CPU),bad
The Ben Mulroney Show,bad
Henry Sir,good
Canada Proud,bad
ğŸ‡¨ğŸ‡¦ğŸ“£ DOGWOOD DEBRIEF,good
Robin Skies,bad
Megan Ruth,good
The Rundown,?
Laura Bilotta,bad
Method To The Madness,bad
Belz,bad
CSC,bad
Sonduren Fanarredha,bad
CCFR,bad
Forward Canada,good
Tod Maffin ğŸ‡¨ğŸ‡¦,good
Frank Domenic,good
Karishma | Climate Girl,climate change
Professor Neil,good
Greenpeace Canada,good
MillennialMoron,good
Jordan Foisy,good
Paris Marx,good
Arsy (Arsalan Shirazi),good
Nerdy About Nature,good
Lil D'Bunk,good
The Rover,good
The Breach,good
Christopher Curtis,good
Rachel Gilmore,good
Keith Stewart,good
Tzeporah Berman,good
Institut Broadbent Institute,good
Ecojustice,good
Avi Lewis,good
George Stroumboulopoulos,good
Naomi Klein,climate change
Jamie Harkin,?
Shaun Majumder,?
Katie Telford,good
Mskwaasin Agnew,good
The Juice Media | Honest Government Ads,good
Fae Johnstone,good
Roberta Sam,good
Savannah Stewart,good
Resource Movement,good
Unrigged Media,good
Jay Baruchel ğŸ‡¨ğŸ‡¦,good
350.org,good
Clayton Thomas-Muller,good
RTN Canada,bad
Made In Canada,?
StraightOuttaThe6ixTV ğŸ‡¨ğŸ‡¦,bad
Oil Sands Action,pro fossil fuel
LNG Action,pro fossil fuel
Canada Action,pro fossil fuel
Jasmin Laine,bad
Tammy Peterson,jordan peterson wife
Dr. Jordan B. Peterson,bad
Great Northern Discussions,pro fossil fuel
Amy Hamm,bad
Indigenous Resource Network,pro fossil fuel
ConocoPhillips,pro fossil fuel
Boldly Exit The Traps of Society,bad
Meghan Murphy,?
Brittany Foote,?
Melissa Silber CPA,good
Canadians for Tax Fairness,good
Ontario Federation of Labour,labour
Change Course,climate change
Catherine Abreu,climate change
Mike Hudema,climate change
Canopy,climate change
Pacific Wild,climate change
Sierra Club BC,climate change
The Narwhal,climate change
The Narwhal Explains,climate change
Mike Graeme,?
Carlos Osorio ğŸ‡¸ğŸ‡» ğŸ‡¨ğŸ‡¦,good
DeSmog,climate change
Christianne Wilhelmson,climate change
Land Needs Guardians,climate change
Indigenous Leadership Initiative,climate change
Nature United,climate change
Nature Canada,climate change
MÃ©tis National Council,indigenous rights
Awi'nakola: Tree of Life,indigenous rights
SeniorsForClimate,climate change
Politt Canada,politics
Patriot Canadians,conservative
Mandeep Bal,conservative
True Patriots,conservative
Joe Anidjar,conservative
Second Sons Canada,conservative
Stand United Canada,conservative
6ixnewzz,conservative
EMMY ROCKET,conservative
Joseph,conservative
Katie Pasitney,conservative
Ice cube sandwiches,conservative
Girl With The News,conservative
On Canada Project,progressive
Team Humanity,progressive
Oxfam Canada,NGO
350 Canada,climate change
Solidarity North Island-qathet,indigenous rights
Climate Action Network Canada,climate change
Shake Up The Establishment,climate change
Melina Laboucan-Massimo,climate change
áŠá¢á‘­á© Sacred Earth,climate change
MakeWay,progressive
Stand.earth,climate change
Scientist Rebellion Turtle Island (US/Canada),climate change
Indigenous Climate Action,climate change
Indigenous Clean Energy,climate change
Leadnow,progressive
Water Watchers,climate change
Power to the People,climate change
Generation Squeeze,progressive
RAVEN,climate change
SkeenaWild Conservation Trust,environment
Marlo Rose,environment
Robert Komaniecki,good
The breakdown,good
Evan Li,good
Quinn Wallace,politics
Zain Velji,good
Daveberta - Alberta Politics,politics
Melissa Lem,climate change
Sierra Club Canada Foundation,climate change
Wilderness Committee,climate change
Wildlands League,climate change
wildernewsontario,environment
canadiansorg,climate change
joshuawrightfilm,environment
Coastal First Nations,environment
Brandi Morin,environment
Adaâ€™itsx / Fairy Creek Blockade,environment
Environmental Defence,climate change
Kolin D. Sutherland-Wilson,environment
Severn Cullis-Suzuki,climate change
Naomi Devine,environment
Centre for Climate Justice,climate change
Common Horizon,climate change
Climate Reality RÃ©alitÃ© climatique Canada,climate change
reâ€¢generation,climate change
West Coast Environmental Law,environment
Apathy is Boring,good
EcoSchools Canada,environment
The Starfish Canada,environment
Environmental Leadership Canada,environment
Youth Climate Lab,climate change
Climate Action Team Manitoba,climate change
Laxâ€™yip Firekeepers,indigenous rights
Manitoba Eco-Network,environment
Canadian Association of Physicians for the Environment - BC,climate change
AUNTEA TAYLOR,environment
Women in Urbanism Canada,environment
Green Communities Canada,climate change
Calgary Climate Hub,climate change
Save Our Slopes,environment
Nature Alberta,environment
CPAWS-BC,environment
Andrea Reimer,environment
Catherine McKenna,climate change
CPAWS â€¢ SNAP Canada,environment
For Our Kids,climate change
Ancient Forest Alliance,environment
Age of Union,environment
Trebek Initiative,environment
Tavish Campbell,environment
Tsimka Martin,indigenous rights
Suzanne Simard,environment
Conservation North,environment
BC Bob,politics
ShiftAction.ca,climate change
Gidimtâ€™en Checkpoint,indigenous rights
Be The Change Earth Alliance,climate change
EÌquiterre,climate change
APTN,media
8th_fire_rising,indigenous rights
Fridays for Future Toronto,climate change
ClimateFast,climate change
Earth Care | Sarah,climate change
Ontario Nature,environment
West Coast Climate Action,climate change
Ecology Action Centre (EAC),climate change
Georgia Strait Alliance,environment
retiredteachersdivestbc,climate change
Climate Justice Edmonton,climate change
BC Climate Alliance,climate change
Molly Wickham,climate change
Canadian Association of Physicians for the Environment (CAPE),climate change
GASP4Change,climate change
Climate Caucus,climate change
Climate Messengers Canada,climate change
Force of Nature Alliance,climate change
Climate Convergence Metro Van,climate change
Lana Goldberg,climate change
Dominion Society of Canada,hate group
Greg Wycliffe,hate group
Daniel Tyrie,hate group
Shadoe Davis,bad
The Rude Awaking Tour,bad
Northern Bigotry,hate group
CANADA IS FOR SALE,bad
We Unify,bad
Freedom Train,bad
613trending | Ottawa ğŸ‡¨ğŸ‡¦,bad
RTN Toronto,bad
MONTREAL ONLY | MTL ONLY,bad
YEGWAVE,bad
Everything About Canada ğŸ‡¨ğŸ‡¦,bad
Adam Derges and the Army of Great Men,bad
"CITIZEN | Youtube, Podcast, TV",bad
Eva Chipiuk,bad
beautifulcanada_1,bad
Mrs Curator,bad
United Conservative Movement,bad
Alberta Unchained,politics
Canada Informed,politics
Jacob Bradshaw,politics
Chris Dacey,politics
The Kelsi Sheren Perspective,politics
Nico Laganiere | Cultural Commentator,politics
Canadaâ€™s National Firearms Association,politics
Tajana Cekic,politics
Melissa | Truth Seeker,politics
Climate Emergency Unit,climate change
Wilderness Committee Manitoba,environment
Youth Climate Corps BC,climate change
My Climate Plan,climate change
Ta'Kaiya Blaney,indigenous rights
Aliya,climate change
Donâ€™t Get Played,politics
Common Horizon Edmonton,climate change
Amara Possian,climate change
Indigenous Climate Hub,climate change
ğ—¢ğ—¡ğ—§ğ—”ğ—¥ğ—œğ—¢ ğ—–ğ—Ÿğ—˜ğ—”ğ—¡ ğ—”ğ—œğ—¥ ğ—”ğ—Ÿğ—Ÿğ—œğ—”ğ—¡ğ—–ğ—˜,climate change
OrcaLab,environment
Lilly Woodbury,climate change
Surfrider Foundation Canada,environment
Colour the Trails,environment
janelle,climate change
CCPA,politics
Real Talk Ryan Jespersen,politics
Last Generation,climate change
Climate Disaster Project,climate change
"Rage Climatique, Coalition Anticapitaliste et Ã‰cologiste",climate change
Gitanyow Hereditary Chiefs,indigenous rights
Green Ummah (GU),environment
The HUB,climate change
Social Justice Co-op NL,environment
Climate Justice Toronto,climate change
Creative Publics,climate change
decolonizemyself,indigenous rights
Indigenous Made | Streetwear Brand,indigenous rights
Music Declares Emergency CA,climate change
onclimateemergencycampaign,climate change
Sovereign Likhtâ€™samisyu,climate change
Camp Landback,indigenous rights
XR Nanaimo,climate change
Climate Justice Ottawa,climate change
serena eve mendizÃ¡ba,climate change
School For Climate Justice,climate change
Community Climate Council,climate change
Extinction Rebellion Vancouver,climate change
Magic Canoe,environment
Climate Justice Victoria,climate change
Scott Skinner,climate change
Climate Strike Canada,climate change
Harrison Mresq,politics
Last Chance for Canada,politics
"The Liberal mission is to destroy Canada, we must fight back.",politics
Kaylor Betts | Top 1% Podcast Host,politics
The Tallowed Truth,politics
NON-NEGOTIABLE BRAND,politics
Mat Piche,politics
Alexa Lavoie,politics
Resistance Coffee,politics
Rise Of Alberta,politics
Jeremy MacKenzie,politics
Vaccine Choice Canada,politics
Alberta Prosperity Project,politics
Canadians for Truth,politics
Blue Collar Canada,politics
Danny Bulford,politics
Canadian Freedom Convoy 2022,politics
Liberty Dispatch,politics
Barter It,politics
Students For Liberty Canada,politics
ARPA Canada,politics
Rise Up Canada,politics
The New Right,politics
Action4Canada,politics
Bright Light News,politics
Veterans for Freedom,politics
Edmonton Wildin,politics
"Samantha Lotus ğŸœ Sovereign Health, Identity & Business Mentor",politics
WILDIN OFFICIAL,politics
riseofalberta2.0,politics
ALBERTAN PATRIOT,politics
TRUCKING FOR FREEDOM,politics
Justice Centre,politics
David Leis - Leaders on the Frontier,politics
Flip Canada Blue,politics
Canadian Insights,politics
Canadian Constitution Foundation,politics
Marcus Territory,politics
Graham Caldwell,politics
Now Thatâ€™s Canadian,politics
George Rivard,politics
Adam Susser,politics
604RAW,politics
Meanwhile in Canada,politics
Krassenstein Brothers,politics
Spoke Media,politics
climate denier,hate group
conservative,climate denier
conservative,pro fossil fuel
hate group,bad
climate denier,bad
pro fossil fuel,bad
conservative,bad
climate change,good
labour,good
indigenous rights,good
politics,good
progressive,good
NGO,good
environment,good
media,good
environment,climate change
environment,indigenous rights
labour,progressive